cell,domain,elicitation,pearson_r,p_value,ci_lo,ci_hi,n,n_honest,n_deceptive
accountability_explanation__instructed_deception,accountability_explanation,instructed_deception,0.8369886317764501,4.2033974105087136e-06,0.6265168769545659,0.933687303838237,20,11,9
accountability_explanation__instrumental_pressure,accountability_explanation,instrumental_pressure,0.679185308490752,0.0009903885919377335,0.3383520464681084,0.8624857816257515,20,12,8
accountability_explanation__role_based_social_dynamics,accountability_explanation,role_based_social_dynamics,0.8601989104954332,1.1533289703911552e-06,0.6743830694522032,0.943552278868987,20,13,7
factual_qa__instructed_deception,factual_qa,instructed_deception,0.8662414938915494,7.929880866005708e-07,0.6871061903143303,0.9460965010884957,20,11,9
factual_qa__instrumental_pressure,factual_qa,instrumental_pressure,0.805969993437992,1.7868744619636864e-05,0.5649338171310199,0.920270367089108,20,9,11
factual_qa__role_based_social_dynamics,factual_qa,role_based_social_dynamics,0.6698632179315128,0.001232957141511403,0.32311840067109415,0.8580396659620262,20,13,7
reporting_evaluation__instructed_deception,reporting_evaluation,instructed_deception,0.758702889133016,0.00010545004696966926,0.4759860206916528,0.8992949884807295,20,10,10
reporting_evaluation__instrumental_pressure,reporting_evaluation,instrumental_pressure,0.827728742017033,6.668026704217459e-06,0.6078533550749208,0.9297102179983217,20,14,6
reporting_evaluation__role_based_social_dynamics,reporting_evaluation,role_based_social_dynamics,0.7716445802493539,6.760547068049221e-05,0.49977808830847353,0.9051030588024105,20,10,10
