src,dst,shift,metric_self,metric_cross,metric_drop
factual_qa__role_based_social_dynamics,reporting_evaluation__instrumental_pressure,joint,0.9642857142857143,0.7857142857142857,0.1785714285714286
factual_qa__role_based_social_dynamics,reporting_evaluation__role_based_social_dynamics,domain,1.0,0.95,0.050000000000000044
reporting_evaluation__instructed_deception,accountability_explanation__instructed_deception,domain,0.9444444444444444,0.7777777777777778,0.16666666666666663
reporting_evaluation__instructed_deception,accountability_explanation__instrumental_pressure,joint,0.8333333333333333,0.5,0.33333333333333326
reporting_evaluation__instructed_deception,accountability_explanation__role_based_social_dynamics,joint,0.9615384615384616,0.7857142857142857,0.17582417582417587
reporting_evaluation__instructed_deception,factual_qa__instructed_deception,domain,1.0,0.7777777777777778,0.2222222222222222
reporting_evaluation__instructed_deception,factual_qa__instrumental_pressure,joint,0.9444444444444444,0.6818181818181819,0.26262626262626254
reporting_evaluation__instructed_deception,factual_qa__role_based_social_dynamics,joint,0.9230769230769231,0.5,0.42307692307692313
reporting_evaluation__instructed_deception,reporting_evaluation__instrumental_pressure,elicitation,0.9642857142857143,0.6666666666666666,0.29761904761904767
reporting_evaluation__instructed_deception,reporting_evaluation__role_based_social_dynamics,elicitation,1.0,0.5,0.5
reporting_evaluation__instrumental_pressure,accountability_explanation__instructed_deception,joint,0.9444444444444444,0.8636363636363636,0.08080808080808077
reporting_evaluation__instrumental_pressure,accountability_explanation__instrumental_pressure,domain,0.8333333333333333,0.8125,0.02083333333333326
reporting_evaluation__instrumental_pressure,accountability_explanation__role_based_social_dynamics,joint,0.9615384615384616,0.8461538461538461,0.11538461538461542
reporting_evaluation__instrumental_pressure,factual_qa__instructed_deception,joint,1.0,0.6818181818181819,0.3181818181818181
reporting_evaluation__instrumental_pressure,factual_qa__instrumental_pressure,domain,0.9444444444444444,0.8888888888888888,0.05555555555555558
reporting_evaluation__instrumental_pressure,factual_qa__role_based_social_dynamics,joint,0.9230769230769231,0.7802197802197802,0.1428571428571429
reporting_evaluation__instrumental_pressure,reporting_evaluation__instructed_deception,elicitation,0.9,0.7,0.20000000000000007
reporting_evaluation__instrumental_pressure,reporting_evaluation__role_based_social_dynamics,elicitation,1.0,0.7,0.30000000000000004
reporting_evaluation__role_based_social_dynamics,accountability_explanation__instructed_deception,joint,0.9444444444444444,0.7272727272727273,0.21717171717171713
reporting_evaluation__role_based_social_dynamics,accountability_explanation__instrumental_pressure,joint,0.8333333333333333,0.6666666666666666,0.16666666666666663
reporting_evaluation__role_based_social_dynamics,accountability_explanation__role_based_social_dynamics,domain,0.9615384615384616,0.7692307692307692,0.1923076923076924
reporting_evaluation__role_based_social_dynamics,factual_qa__instructed_deception,joint,1.0,0.5909090909090909,0.40909090909090906
reporting_evaluation__role_based_social_dynamics,factual_qa__instrumental_pressure,joint,0.9444444444444444,0.7222222222222222,0.2222222222222222
reporting_evaluation__role_based_social_dynamics,factual_qa__role_based_social_dynamics,domain,0.9230769230769231,0.9230769230769231,0.0
reporting_evaluation__role_based_social_dynamics,reporting_evaluation__instructed_deception,elicitation,0.9,0.55,0.35
reporting_evaluation__role_based_social_dynamics,reporting_evaluation__instrumental_pressure,elicitation,0.9642857142857143,0.7142857142857143,0.25
