label_subset,facet,level,mean_probe,std_probe,n,anova_F,anova_p,facet_range
honest,elicitation,instructed_deception,-7.051481112837791,0.06538867657286324,32,14.510314915416394,2.931177502031803e-06,0.07916177809238434
honest,elicitation,instrumental_pressure,-7.082713835580009,0.04619112292508266,35,14.510314915416394,2.931177502031803e-06,0.07916177809238434
honest,elicitation,role_based_social_dynamics,-7.130642890930176,0.06965363876609873,36,14.510314915416394,2.931177502031803e-06,0.07916177809238434
honest,domain,accountability_explanation,-7.082291391160753,0.057587365850230846,36,0.4608852964451165,0.6320580059317649,0.016005626832595432
honest,domain,factual_qa,-7.098297017993349,0.08509700448285039,33,0.4608852964451165,0.6320580059317649,0.016005626832595432
honest,domain,reporting_evaluation,-7.08938918394201,0.0631201083161969,34,0.4608852964451165,0.6320580059317649,0.016005626832595432
deceptive,elicitation,instructed_deception,-6.868028623717172,0.0769008138374375,28,12.703017595746857,1.8084303812261574e-05,0.11702992234911225
deceptive,elicitation,instrumental_pressure,-6.937395896911621,0.07580456122104261,25,12.703017595746857,1.8084303812261574e-05,0.11702992234911225
deceptive,elicitation,role_based_social_dynamics,-6.985058546066284,0.099899951386359,24,12.703017595746857,1.8084303812261574e-05,0.11702992234911225
deceptive,domain,accountability_explanation,-6.915221452713013,0.08241229248738102,24,0.25893124014399693,0.7725724978208723,0.018245935440063477
deceptive,domain,factual_qa,-6.931319890198885,0.08555282339416685,27,0.25893124014399693,0.7725724978208723,0.018245935440063477
deceptive,domain,reporting_evaluation,-6.933467388153076,0.11944265857256668,26,0.25893124014399693,0.7725724978208723,0.018245935440063477
